===============LOG-FTP===========
TC01 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC14 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC27 == The remote server returned an error: (500) Syntax error, command unrecognized.
TC29 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC34 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC41 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC4V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC51 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC52 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC54 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC5Z == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC66 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC70 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC72 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC83 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC90 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TC91 == Unable to connect to the remote server
TC92 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TCBD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TCWA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TCXR == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TCZP == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TD4L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TD5S == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TD5U == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TD5V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TD92 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TDHR == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TDQ7 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TDV2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TDY6 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TDZD == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TE7N == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TECV == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TED5 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEDI == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEDJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEEL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEHG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TENX == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEOM == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEU8 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEVH == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TEWA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TF3V == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TF9C == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFNL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFRH == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFU3 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFWF == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFWK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TFZG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TG4L == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TG5S == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TG5U == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TG71 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TGB8 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TGFC == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TGLL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TGTE == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TGVL == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TH0E == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TH5J == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TH8I == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TH9D == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
THGJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
THJV == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
THQC == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
THYA == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TI4Q == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TI82 == The remote server returned an error: (500) Syntax error, command unrecognized.
TI9Z == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIAM == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIFI == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIL8 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIQH == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIWE == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TIZJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJDE == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJFS == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJIZ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJK4 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJMG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJUJ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJVT == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJVY == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJYC == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJZB == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TJZZ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK01 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK06 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK13 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK14 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK18 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TK28 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TKB2 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TKP0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TKT6 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TKY5 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TL2N == The remote server returned an error: (500) Syntax error, command unrecognized.
TL4P == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TL61 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLAQ == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLCI == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLIM == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLLT == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLQ9 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLRK == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLUG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLV3 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TLWB == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM3B == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM4S == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM4Y == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM66 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM87 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM89 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TM96 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMAM == The remote server returned an error: (500) Syntax error, command unrecognized.
TMAT == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMFH == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMFX == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMMG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMPG == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMTC == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMUV == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMV0 == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMVV == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMVX == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TMZW == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
TN4X == The remote server returned an error: (500) Syntax error, command unrecognized.
TN5G == The remote server returned an error: (550) File unavailable (e.g., file not found, no access).
